model_id,task_id,signature,n,k_passed,pass_rate,wilson_lo,wilson_hi,effect_size_mean,effect_size_sd,unstable,n_untestable,n_attempted,note
gpt-5.4-nano,tiny_alchemy,above_chance_discovery,3,1,0.3333,0.0615,0.7923,0.1881,0.2296,True,7,10,
gpt-5.4-nano,tiny_alchemy,non_redundant_attempts,0,0,,,,,,False,10,10,untestable in every session — no pass rate is defined
gpt-5.4-nano,visual_recognition,above_chance_accuracy,8,0,0.0,0.0,0.3244,0.0376,0.0519,False,2,10,
gpt-5.4-nano,visual_recognition,above_chance_discrimination,6,0,0.0,0.0,0.3903,0.0162,0.0491,False,4,10,
gpt-5.4-nano,visual_recognition,low_false_alarm_rate,6,2,0.3333,0.0968,0.7,0.087,0.4006,True,4,10,
kimi-k2.5,effort_foraging,above_chance_mvt_match,10,0,0.0,0.0,0.2775,-0.3162,0.0998,False,0,10,
kimi-k2.5,effort_foraging,above_chance_total_reward,9,0,0.0,0.0,0.2992,-0.1213,0.1732,False,1,10,
kimi-k2.5,effort_foraging,harvest_rt_speedup,10,4,0.4,0.1682,0.6873,-0.0684,0.2326,True,0,10,
kimi-k2.5,effort_foraging,travel_cost_residence_effect,5,0,0.0,0.0,0.4345,0.03,0.057,False,5,10,
kimi-k2.5,grid_bandit,above_chance_reward,5,5,1.0,0.5655,1.0,0.3014,0.1308,False,5,10,
kimi-k2.5,grid_bandit,kraken_avoidance_in_risky,5,4,0.8,0.3755,0.9638,-0.3737,0.1435,True,5,10,
kimi-k2.5,grid_bandit,value_directed_exploitation,4,1,0.25,0.0456,0.6994,-0.0157,0.3242,True,6,10,
kimi-k2.5,grid_bandit,within_block_learning,4,2,0.5,0.15,0.85,0.203,0.1337,True,6,10,
kimi-k2.5,grid_bandit,within_block_rt_speedup,4,0,0.0,0.0,0.4899,0.0381,0.126,False,6,10,
kimi-k2.5,marbles_risk,above_chance_ev_optimal,10,7,0.7,0.3968,0.8922,0.3676,0.1712,True,0,10,
kimi-k2.5,marbles_risk,ev_difference_rt_effect,8,0,0.0,0.0,0.3244,0.1773,0.2125,False,2,10,
kimi-k2.5,marbles_risk,ev_sensitivity,8,5,0.625,0.3057,0.8632,0.4783,0.3381,True,2,10,
kimi-k2.5,marbles_risk,magnitude_effect_high_payoff,8,4,0.5,0.2152,0.7848,0.205,0.4169,True,2,10,
kimi-k2.5,moral_machine,age_preference_save_young,8,3,0.375,0.1368,0.6943,0.2125,0.2748,True,2,10,
kimi-k2.5,moral_machine,intervention_aversion,0,0,,,,,,False,10,10,untestable in every session — no pass rate is defined
kimi-k2.5,moral_machine,legality_preference_save_lawful,6,0,0.0,0.0,0.3903,0.2222,0.0861,False,4,10,
kimi-k2.5,moral_machine,species_preference_save_human,8,5,0.625,0.3057,0.8632,0.3625,0.1847,True,2,10,
kimi-k2.5,moral_machine,utilitarian_preference,8,8,1.0,0.6756,1.0,0.4875,0.0354,False,2,10,
kimi-k2.5,phishing_detection_v2,above_chance_discrimination,10,10,1.0,0.7225,1.0,0.7291,0.0612,False,0,10,
kimi-k2.5,phishing_detection_v2,above_chance_overall,10,10,1.0,0.7225,1.0,0.3644,0.0305,False,0,10,
kimi-k2.5,phishing_detection_v2,learning_effect,10,0,0.0,0.0,0.2775,0.03,0.1703,False,0,10,
