sweep,repeat_index,model_id,task_id,signature,testable,untestable_reason,score,passed,p_value,effect_size,direction_correct
random_floor_v12_20260726_201120,2,random,visual_recognition,above_chance_accuracy,True,,0.5,False,0.20478969796353588,0.050000000000000044,True
random_floor_v12_20260726_201120,2,random,visual_recognition,low_false_alarm_rate,True,,0.5,False,0.4300250329542905,-0.03999999999999998,True
random_floor_v12_20260726_201120,2,random,effort_foraging,travel_cost_residence_effect,True,,0.0,False,0.6725395451983728,-0.025000000000000022,False
random_floor_v12_20260726_201120,2,random,effort_foraging,above_chance_mvt_match,True,,0.5,False,0.3687771544921613,0.025000000000000022,True
random_floor_v12_20260726_201120,2,random,effort_foraging,above_chance_total_reward,True,,0.0,False,0.6312228455078387,-0.012500000000000011,False
random_floor_v12_20260726_201120,2,random,effort_foraging,harvest_rt_speedup,True,,0.0,False,0.9982962747924937,0.3236351197050072,False
random_floor_v12_20260726_201120,3,random,grid_bandit,kraken_avoidance_in_risky,True,,0.0,False,0.9995318885445741,0.21999999999999997,False
random_floor_v12_20260726_201120,3,random,grid_bandit,value_directed_exploitation,True,,0.0,False,0.5476057411943461,0.0121759040369453,False
random_floor_v12_20260726_201120,3,random,grid_bandit,above_chance_reward,True,,0.0,False,0.9985281805703274,-0.13636363636363635,False
random_floor_v12_20260726_201120,3,random,grid_bandit,within_block_learning,True,,0.0,False,0.9777337890855019,-0.19196236356582214,False
random_floor_v12_20260726_201120,3,random,grid_bandit,within_block_rt_speedup,True,,0.0,False,0.9994568861828056,0.3074449625036193,False
random_floor_v12_20260726_201120,3,random,repeated_games,tit_for_tat_reciprocity_pd,True,,0.0,False,0.7622377622377623,-0.041666666666666685,False
random_floor_v12_20260726_201120,3,random,repeated_games,above_chance_coordination_bos,True,,0.0,False,0.999969482421875,-0.43333333333333335,False
random_floor_v12_20260726_201120,3,random,repeated_games,cooperation_when_opp_cooperated,False,underpowered,,False,,,
random_floor_v12_20260726_201120,3,random,repeated_games,round_rt_speedup,True,,0.5,False,0.16206058791126804,-0.18635772353044686,True
random_floor_v12_20260726_201120,3,random,serial_recall_v2,above_chance_recall,True,,0.0,False,1.0,-0.05,False
random_floor_v12_20260726_201120,3,random,serial_recall_v2,similarity_aids_recall,True,,0.0,False,,,False
random_floor_v12_20260726_201120,3,random,serial_recall_v2,high_vs_low_sim_advantage,True,,0.0,False,1.0,0.0,False
