run_index,repeat_index,model_id,task_id,rc,wall_time,composite,l1,l2,l3
64,6,random,serial_recall_v2,0,72.8,21.48,1.0000,0.1851,0.0000
60,6,random,random_dot_motion_v2,0,149.4,23.42,1.0000,0.0264,0.1500
67,6,random,tiny_alchemy,0,43.7,17.70,1.0000,0.0770,0.0000
68,6,random,moral_machine,0,62.5,28.41,1.0000,0.2047,0.1250
69,6,random,phishing_detection_v2,0,147.0,49.07,1.0000,0.2592,0.5000
65,6,random,visual_recognition,0,255.2,61.88,1.0000,0.0000,0.9375
66,6,random,effort_foraging,0,303.4,24.39,1.0000,0.1386,0.0909
71,7,random,grid_bandit,0,44.5,19.98,1.0000,0.0231,0.0833
73,7,random,repeated_games,0,58.9,58.13,1.0000,0.5181,0.5000
72,7,random,marbles_risk,0,95.3,36.15,1.0000,0.0199,0.4091
74,7,random,serial_recall_v2,0,74.7,21.48,1.0000,0.1851,0.0000
70,7,random,random_dot_motion_v2,0,150.2,31.05,1.0000,0.1730,0.2000
77,7,random,tiny_alchemy,0,43.3,17.18,1.0000,0.0624,0.0000
78,7,random,moral_machine,0,61.3,20.68,1.0000,0.0193,0.1000
79,7,random,phishing_detection_v2,0,148.9,29.00,1.0000,0.0103,0.2727
75,7,random,visual_recognition,0,255.1,15.00,1.0000,0.0000,0.0000
76,7,random,effort_foraging,0,313.1,27.14,1.0000,0.0872,0.1818
81,8,random,grid_bandit,0,42.6,20.00,1.0000,0.0237,0.0833
83,8,random,repeated_games,0,57.5,49.81,1.0000,0.4945,0.3500
82,8,random,marbles_risk,0,93.9,19.56,1.0000,0.0003,0.0909
84,8,random,serial_recall_v2,0,72.6,27.03,1.0000,0.1851,0.1111
80,8,random,random_dot_motion_v2,0,146.3,24.49,1.0000,0.0569,0.1500
87,8,random,tiny_alchemy,0,43.2,18.33,1.0000,0.0951,0.0000
88,8,random,moral_machine,0,63.5,34.40,1.0000,0.2863,0.1875
89,8,random,phishing_detection_v2,0,149.6,15.28,1.0000,0.0081,0.0000
85,8,random,visual_recognition,0,254.9,40.00,1.0000,0.0000,0.5000
86,8,random,effort_foraging,0,353.1,16.60,1.0000,0.0458,0.0000
90,9,random,random_dot_motion_v2,1,33.7,,,,
93,9,random,repeated_games,1,33.7,,,,
91,9,random,grid_bandit,1,33.7,,,,
92,9,random,marbles_risk,1,33.8,,,,
97,9,random,tiny_alchemy,0,45.6,19.11,1.0000,0.1175,0.0000
94,9,random,serial_recall_v2,0,74.7,27.03,1.0000,0.1851,0.1111
98,9,random,moral_machine,0,62.5,24.94,1.0000,0.2839,0.0000
99,9,random,phishing_detection_v2,0,148.4,38.81,1.0000,0.1608,0.3636
95,9,random,visual_recognition,0,256.3,40.00,1.0000,0.0000,0.5000
96,9,random,effort_foraging,0,281.7,41.81,1.0000,0.1815,0.4091
